Username,Year,Month,play_count,unique_artists,unique_tracks,Cluster,Drift_Score,Drift_Class,Drift_Label,PCA1,PCA2
Babs_05,2021,1,33691,9324,24585,0,1.0,High,0,23222.498444957557,-689.8958745084689
Knapster01,2021,1,27015,8147,20146,0,0.7953967329676055,High,0,15153.906510976705,28.761120979126826
Orlenay,2021,1,10122,3668,8313,2,0.2776671059486959,Low,1,-5946.160163305225,511.71644048953675
eartle,2021,1,20965,6597,16019,3,0.6099788531674277,Medium,2,7673.05192009495,290.9611107140039
franhale,2021,1,32712,9504,23703,0,0.969996015814153,High,0,21986.077022155245,-442.17840832548166
isaac,2021,1,1779,664,1479,1,0.021974317325078915,Low,1,-17114.061551440976,-264.680142338623
jajo,2021,1,1101,437,955,1,0.0011952557540837877,Low,1,-17999.751809718437,-301.2397446947735
jonocole,2021,1,17229,5883,13358,3,0.4954794814428882,Medium,2,3043.680084503298,572.6041152830655
lobsterclaw,2021,1,1062,427,916,1,0.0,Low,1,-18055.097057455438,-305.26695398400466
massdosage,2021,1,19014,6527,15040,3,0.5501854178798001,Medium,2,5559.635045127698,840.9218829312551
mremond,2021,1,1451,603,1239,1,0.011921909957399855,Low,1,-17523.77844589537,-241.7035465456376
